"Name","Row","Action"
"Lillian","46","Delete"
"Lilliana","345","Delete"
"Lillie","724","Delete"
"Lilly","231","Delete"
"Lily","1209","Delete"
"Lilyana","881","Delete"
"Lina","684","Delete"
"Linnea","1617","Delete"
"lischa","1149","Delete"
"Lisette","1651","Delete"
"Liv","667","Delete"
"Lizette","1254","Delete"
"loanna","2035","Delete"
"Lockette","1990","Delete"
"Logan","317","Delete"
"Lola","1175","Delete"
"Lola","240","Delete"
"London","195","Delete"
"Londyn","162","Delete"
"lone","1606","Delete"
"lone","1368","Delete"
"lone","1691","Delete"
"Lorelei","1329","Delete"
"Lorelei","506","Delete"
"Lorette","1652","Delete"
"Louisa","725","Delete"
"Louise","690","Delete"
"Louisette","1653","Delete"
"lovelya","1150","Delete"
"Lucienne","1654","Delete"
"Lucille","1018","Delete"
"Lucinda","1019","Delete"
"Lucinde","1655","Delete"
"Lucy","1210","Delete"
"Luella","987","Delete"
"Lullaby","1991","Delete"
"Luna","1176","Delete"
"Luz","1267","Delete"
"Lyanna","764","Delete"
"Lyla","118","Delete"
"Lylah","592","Delete"
"Lyric","412","Delete"
"Mabel","427","Delete"
"Maci","455","Delete"
"Macy","618","Delete"
"Madalyn","813","Delete"
"Maddison","475","Delete"
"Madeleine","1656","Delete"
"Madeleine","394","Delete"
"Madeline","1020","Delete"
"Madelyn","66","Delete"
"Madelyn","1369","Delete"
"Madilyn","325","Delete"
"Madison","23","Delete"
"Madisyn","726","Delete"
"Maeve","173","Delete"
"Magdalena","1347","Delete"
"Magdalena","997","Delete"
"Magdalini","1901","Delete"
"Maggie","293","Delete"
"Magnolia","1557","Delete"
"Magnolia","1308","Delete"
"Maia","498","Delete"
"Maisie","409","Delete"
"Makayla","326","Delete"
"Makenna","402","Delete"
"Malani","495","Delete"
"Malaya","668","Delete"
"Malayah","949","Delete"
"Malaysia","622","Delete"
